scenario,ev,alg,metric,seed,value
turin,vehev1,allgreen,imp,17651,98.48945270480414
turin,vehev1,kapusta2,imp,21907,16.651074714186787
turin,vehev1,allgreen,imp,30616,83.55198899819501
turin,vehev1,allgreen,imp,10105,80.02437185535003
turin,vehev1,allgreen,imp,24847,-278.89331053579264
turin,vehev1,allgreen,imp,20276,35.25362509315924
turin,vehev1,kapusta2,imp,17651,-82.0092504615244
turin,vehev1,kapusta2,imp,30616,83.0042428835981
turin,vehev1,tpn2,imp,22760,-27.753234458819808
turin,vehev1,kapusta2,imp,22570,44.81567505181352
turin,vehev1,allgreen,imp,30366,92.71864333205028
turin,vehev1,tpn2,imp,16993,81.36164310632277
turin,vehev1,allgreen,imp,6325,5.375761490959352
turin,vehev1,tpn2,imp,12811,84.06401818717542
turin,vehev1,kapusta2,imp,27548,57.6083003688558
turin,vehev1,allgreen,imp,31737,98.50523802459718
turin,vehev1,tpn2,imp,6325,21.89707629149561
turin,vehev1,kapusta2,imp,22737,98.01748881398296
turin,vehev1,kapusta2,imp,32668,47.86239365237199
turin,vehev1,allgreen,imp,6479,76.86876990935077
turin,vehev1,tpn2,imp,24847,61.51492684107793
turin,vehev1,allgreen,imp,27226,94.75421490960795
turin,vehev1,tpn2,imp,22570,96.79770892996615
turin,vehev1,kapusta2,imp,20276,26.88346615291207
turin,vehev1,tpn2,imp,27548,30.760867145115455
turin,vehev1,kapusta2,imp,12811,51.706234665393126
turin,vehev1,allgreen,imp,32668,37.90186339815232
turin,vehev1,allgreen,imp,22737,22.526699159290274
turin,vehev1,kapusta2,imp,22760,-108.71308447645389
turin,vehev1,tpn2,imp,32668,86.08006574908809
turin,vehev1,tpn2,imp,30366,61.80259402888397
turin,vehev1,tpn2,imp,2094,97.83366843715002
turin,vehev1,tpn2,imp,22737,90.39848412662019
turin,vehev1,tpn2,imp,10105,44.012664987774805
turin,vehev1,tpn2,imp,11718,-45.762764234101795
turin,vehev1,kapusta2,imp,31737,94.85616330298127
turin,vehev1,allgreen,imp,11718,-19.157275845173928
