scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od1500k,vehev1,kapusta2,21907,3355.64,66468.10,4576.00,1220.3600000000001,-21.671090226109158
od1500k,vehev3,kapusta2,16250,692.98,51521.59,1424.00,731.02,29.07352820764758
od1500k,vehev3,kapusta2,12811,2341.19,58890.57,3072.00,730.81,67.58827014874129
od1500k,vehev2,kapusta2,21907,56335.82,303868.88,57230.00,894.1800000000003,-179.25391933751337
od1500k,vehev3,no-preemption,27548,1249.71,60892.98,1982.00,732.29,
od1500k,vehev3,allgreen,6479,1609.06,53155.01,2341.00,731.94,49.65362736938279
od1500k,vehev3,allgreen,25029,937.79,48784.80,1670.00,732.21,39.014651466772456
od1500k,vehev1,no-preemption,11718,3641.83,73648.92,4863.00,1221.17,
od1500k,vehev2,allgreen,32556,313.84,55626.48,1207.00,893.1600000000001,96.78438010381296
od1500k,vehev2,no-preemption,6325,30397.45,221865.95,31292.00,894.5499999999993,
od1500k,vehev2,kapusta2,27548,18209.24,155262.54,19104.00,894.7599999999984,-87.79498243667199
od1500k,vehev1,allgreen,30616,264.70,47572.27,1485.00,1220.3,86.96707549445843
od1500k,vehev1,allgreen,10105,2059.43,76008.98,3280.00,1220.5700000000002,-11.301889953575351
od1500k,vehev3,tpn2,12811,143.68,41355.65,874.00,730.3199999999999,98.01087594555382
od1500k,vehev3,no-preemption,6479,3195.98,67090.62,3927.00,731.02,
od1500k,vehev1,tpn2,15239,2182.81,66584.68,3404.00,1221.19,8.77857969718372
od1500k,vehev2,tpn2,17651,2583.13,66075.97,3478.00,894.8699999999999,59.05558364651673
od1500k,vehev2,tpn2,10105,1655.59,53670.82,2551.00,895.4100000000001,62.726628018236056
od1500k,vehev1,no-preemption,32556,4728.61,79578.79,5950.00,1221.3900000000003,
od1500k,vehev2,no-preemption,20276,7287.69,100734.03,8182.00,894.3100000000004,
od1500k,vehev1,kapusta2,25029,1588.49,53663.37,2809.00,1220.51,51.67385656308754
od1500k,vehev3,kapusta,10105,1147.23,46830.38,1879.00,731.77,8.270033422353007
od1500k,vehev3,allgreen,21907,158.31,51364.88,889.00,730.69,91.72603026106044
od1500k,vehev3,no-preemption,2094,3101.14,65305.94,3833.00,731.8600000000001,
od1500k,vehev1,tpn2,27422,417.59,45813.22,1638.00,1220.41,82.45678156573612
od1500k,vehev1,allgreen,24847,1005.26,57242.91,2226.00,1220.74,77.96294347696463
od1500k,vehev2,allgreen,24847,344.13,50253.08,1239.00,894.87,97.90336966932058
od1500k,vehev1,no-preemption,16993,2659.13,69020.68,3880.00,1220.87,
od1500k,vehev2,kapusta2,32668,2676.07,79409.47,3571.00,894.9299999999998,71.22161892440926
od1500k,vehev3,no-preemption,30366,2885.79,68391.24,3618.00,732.21,
od1500k,vehev3,kapusta2,30616,953.93,51324.84,1685.00,731.07,64.46526355000933
od1500k,vehev3,no-preemption,22760,979.91,54253.75,1712.00,732.09,
