scenario,ev,alg,metric,seed,value
od500k,vehev2,tpn2,ttt,32556,1095.00
od500k,vehev2,allgreen,tl,16993,91.52
od500k,vehev2,allgreen,rt,16993,16470.83
od500k,vehev2,allgreen,ttt,16993,987.00
od500k,vehev1,allgreen,tl,32556,333.96
od500k,vehev1,allgreen,rt,32556,18603.44
od500k,vehev1,allgreen,ttt,32556,1555.00
od500k,vehev3,tpn2,tl,6479,163.35
od500k,vehev3,tpn2,rt,6479,19585.05
od500k,vehev3,tpn2,ttt,6479,895.00
od500k,vehev2,allgreen,tl,6325,105.21
od500k,vehev2,allgreen,rt,6325,18187.41
od500k,vehev2,allgreen,ttt,6325,999.00
od500k,vehev1,tpn2,tl,30616,295.24
od500k,vehev1,tpn2,rt,30616,15247.96
od500k,vehev1,tpn2,ttt,30616,1517.00
od500k,vehev2,tpn,tl,16993,102.28
od500k,vehev2,tpn,rt,16993,15082.05
od500k,vehev2,tpn,ttt,16993,997.00
od500k,vehev3,allgreen,tl,10280,68.60
od500k,vehev3,allgreen,rt,10280,15431.41
od500k,vehev3,allgreen,ttt,10280,800.00
od500k,vehev1,allgreen,tl,16250,344.59
od500k,vehev1,allgreen,rt,16250,19404.31
od500k,vehev1,allgreen,ttt,16250,1566.00
od500k,vehev2,tpn2,tl,2094,167.59
od500k,vehev2,tpn2,rt,2094,15706.73
od500k,vehev2,tpn2,ttt,2094,1062.00
od500k,vehev1,kapusta2,tl,24847,503.20
od500k,vehev1,kapusta2,rt,24847,23086.39
od500k,vehev1,kapusta2,ttt,24847,1724.00
od500k,vehev1,tpn2,tl,10280,227.38
od500k,vehev1,tpn2,rt,10280,22124.51
od500k,vehev1,tpn2,ttt,10280,1448.00
od500k,vehev1,no-preemption,tl,20276,1210.31
od500k,vehev1,no-preemption,rt,20276,15236.54
od500k,vehev1,no-preemption,ttt,20276,2432.00
od500k,vehev1,no-preemption,tl,30616,1212.25
od500k,vehev1,no-preemption,rt,30616,15183.45
od500k,vehev1,no-preemption,ttt,30616,2434.00
od500k,vehev1,kapusta2,tl,27226,434.06
od500k,vehev1,kapusta2,rt,27226,19291.67
od500k,vehev1,kapusta2,ttt,27226,1656.00
od500k,vehev2,kapusta2,tl,2094,2197.75
od500k,vehev2,kapusta2,rt,2094,22039.29
od500k,vehev2,kapusta2,ttt,2094,3092.00
od500k,vehev1,allgreen,tl,22570,359.49
od500k,vehev1,allgreen,rt,22570,16450.48
od500k,vehev1,allgreen,ttt,22570,1581.00
od500k,vehev1,tpn,tl,30366,92.08
od500k,vehev1,tpn,rt,30366,13427.47
od500k,vehev1,tpn,ttt,30366,1312.00
od500k,vehev3,tpn2,tl,10105,143.87
od500k,vehev3,tpn2,rt,10105,14513.19
od500k,vehev3,tpn2,ttt,10105,875.00
od500k,vehev2,tpn,tl,22760,188.43
od500k,vehev2,tpn,rt,22760,17827.98
od500k,vehev2,tpn,ttt,22760,1083.00
od500k,vehev2,allgreen,tl,22760,90.78
od500k,vehev2,allgreen,rt,22760,17988.37
od500k,vehev2,allgreen,ttt,22760,985.00
od500k,vehev1,kapusta,tl,12811,121.98
